Player_id,Player,Age,Country,Height,Weight,isRightHanded,isBackhandTwoHands,Turned_Pro,Prize_Money,Titles,Grand_Slam,Masters,Finals,Current_Rank,Best_Rank,Current_Elo_Rank,Best_Elo_Rank,Pick_Elo_Rank,Goat_Rank,Hard,Clay,Grass,Carpet,Grand_Slam.1,Tour_Finals,Masters.1,Olympics,ATP_500,ATP_250,Davis_Cup,Deciding_Set,Fifth_Set,After_Winning_1st_Set,After_Losing_1st_Set,Tie-Breaks,Deciding_Set_Tie-Breaks,Outdoor,Indoor,Best_of_3,Best_of_5,Vs_No._1,Vs_Top_5,Vs_Top_10,Vs_Top_20,Vs_Top_50,Vs_Top_100,Final,For_Bronze_Medal,Semi-Final,Quarter-Final,Round_of_16,Round_of_32,Round_of_64,Round_of_128,Round-Robin,Very_Fast,Fast,Medium_Fast,Medium,Medium_Slow,Slow,Very_Slow,Best_of_3:_2:0,Best_of_3:_2:1,Best_of_3:_1:2,Best_of_3:_0:2,Best_of_5:_3:0,Best_of_5:_3:1,Best_of_5:_3:2,Best_of_5:_2:3,Best_of_5:_1:3,Best_of_5:_0:3,2nd_Serve_Won_%,Pts._Won_per_Rtn._Game,Upsets,2nd_Srv._Return_Won_%,Sets_Played,Point_Time_(seconds),Pts._to_Sets_Over-Perf.,Double_Faults,Total_Points_Won,Tie-Breaks_Played,Tie-Breaks_Won,Opponent_Rank,Games_Dominance,R._Pts._to_R._Gms._Ov.-Perf.,Service_Games_Won_%,Opponent_Elo_Rating,Matches_Played,Upsets_scored,Double_Faults_Against,Gms._to_Matches_Ov.-Perf.,Rtn._In-play_Pts._Won_%,Game_Time_(minutes),1st_Serve_%,BPs_per_Return_Game,1st_Serve_Won_%,Pts._to_Gms._Over-Perf.,Gms._to_Sets_Over-Perf.,Points_per_Service_Game,BPs_per_Svc._Game,Total_Games_Won,Break_Points_Saved_%,Upsets_scored_%,DFs_per_Set,Ace_%,Svc._In-play_Pts._Won_%,Sets_to_Matches_Ov.-Perf.,Total_Games_Played,Games_per_Set,Tie-Breaks_per_Match,S._Pts._to_S._Gms._Ov.-Perf.,Aces_per_Match,Sets_Won_%,Points_Dominance,Break_Points_Won_%,Rtn._to_Svc._Points_Ratio,Match_Time,Tie-Breaks_Won_%,Return_Games_Won_%,Svc._Gms._Lost_per_Set,DFs_per_Match,Set_Time_(minutes),DFs_per_2nd_Serve_%,Service_Points_Won_%,Rtn._Gms._Won_per_Match,Tie-Breaks_per_Set_%,Matches_Won,Sets_Won,Pts._to_TBs._Over-Perf.,Upsets_%,Pts._to_Matches_Over-Perf.,Double_Fault_Against_%,Rtn._Gms._Won_per_Set,Return_Points_Won_%,BPs_Over-Performing,Aces_per_Svc._Game,Points_per_Set,Ace_Against_%,Aces_/_DFs_Ratio,Games_per_Match,Upsets_against,Total_Points_Played,Games_Won_%,Double_Fault_%,Matches_Won_%,Ace_Against,Break_Points_Ratio,DFs_per_Svc._Game,Upsets_against_%,Points_per_Return_Game,BPs_Faced_per_Set,Aces_per_Set,Points_per_Match,Points_per_Game,BPs_Faced_per_Match,Sets_per_Match,Svc._Gms._Lost_per_Match,1st_Srv._Return_Won_%,BPs_Saved_Over-Perf.,Pts._Lost_per_Svc._Game,Aces,Total_Points_Won_%,BPs_per_Set,BPs_per_Match,BPs_Conv._Over-Perf.
4920,Novak Djokovic,31,Serbia,77.0,188.0,True,True,2003,125772589,73,15,32,5,1,1,1,1,2629,2,84.3,79.4,83.0,69.2,86.6,74.5,82.0,69.2,85.7,77.2,81.6,74.3,76.3,96.1,42.5,63.3,71.4,83.9,76.5,81.2,86.0,43.3,60.3,68.8,72.2,79.0,81.8,68.6,50.0,72.7,82.5,87.2,90.1,86.8,94.8,74.3,83.1,81.9,82.8,86.4,83.7,73.8,75.7,60.0,21.5,7.6,11.0,57.9,20.4,9.0,2.8,5.0,5.0,55.5,2.8,179,55.2,2693,0.6933333333333334,1.39,2212,84535,368,233,23,2.25,0.76,85.7,2044,1022,58,2769,1.4,42.8,4.45,64.9,0.73,73.4,1.09,1.28,6.18,0.41,15036,65.4,5.7,0.86,7.0,66.7,1.09,25396,9.43,0.36,1.28,5.4,75.8,1.28,44.2,1.05,109.0,63.3,32.2,0.68,2.3,42.0,8.3,67.1,3.9,13.7,846,2041,1.16,17.5,1.52,3.5,1.49,42.2,0.96,0.43,60.4,6.2,2.39,24.8,121,155526,59.2,2.9,82.8,4948,1.28,0.18,11.9,6.65,1.98,2.06,158.2,6.41,5.2,2.64,1.8,33.6,0.98,2.03,5296,54.4,3.38,8.8,1.05
4742,Rafael Nadal,32,Spain,85.0,185.0,False,True,2001,0,80,17,33,0,2,1,2,1,2552,3,77.4,92.0,77.6,25.0,87.2,55.2,82.5,83.3,87.2,74.1,96.0,68.6,65.6,95.0,42.8,61.0,52.9,84.8,65.4,80.9,87.9,51.4,59.7,65.3,71.6,77.5,82.0,68.4,0.0,76.3,76.6,88.9,89.4,88.7,96.4,63.6,73.7,77.1,77.3,85.2,89.8,93.2,94.2,63.9,17.4,7.8,11.0,63.7,18.0,6.8,3.5,3.9,4.2,57.3,2.79,195,55.3,2843,0.7483333333333333,1.42,1717,89229,372,227,27,2.31,0.79,85.6,2020,1114,54,2905,1.39,43.7,4.75,68.6,0.74,71.8,1.1,1.3,6.12,0.43,15842,66.3,4.8,0.62,4.1,67.4,1.07,26544,9.34,0.33,1.27,3.0,77.3,1.3,44.9,1.07,112.0,61.0,33.3,0.68,1.6,44.4,6.9,67.2,3.9,13.1,924,2198,1.12,17.5,1.52,3.4,1.55,42.4,0.97,0.25,59.3,7.2,1.87,23.8,141,163919,59.7,2.2,82.9,6114,1.34,0.13,12.7,6.57,2.01,1.16,150.5,6.34,5.1,2.55,1.7,34.2,0.99,2.0,3219,54.4,3.46,8.8,1.06
644,Alexander Zverev,21,Germany,86.0,198.0,True,True,2013,15747928,10,0,3,1,3,3,7,5,2231,69,64.1,70.7,66.7,0.0,62.5,62.5,69.2,0.0,67.1,67.2,50.0,60.6,60.0,83.8,34.7,57.1,90.0,67.7,60.8,67.7,60.4,33.3,47.4,46.3,50.0,59.5,63.2,66.7,0.0,55.6,72.2,69.2,63.0,69.7,83.3,50.0,58.7,63.5,79.3,70.8,56.0,72.7,66.7,43.8,23.5,15.2,17.5,33.3,8.3,18.8,12.5,16.7,10.4,51.2,2.41,80,50.7,707,0.6066666666666667,1.2,1024,22267,112,64,34,1.32,0.64,81.5,1979,268,40,785,1.25,37.9,3.83,62.7,0.57,73.0,1.03,1.16,6.28,0.47,3639,60.8,14.9,1.45,9.2,64.7,1.08,6873,9.72,0.42,1.26,7.4,61.4,1.08,42.9,1.01,98.0,57.1,24.4,0.9,3.8,37.3,12.7,64.9,3.1,15.8,178,434,1.11,29.9,1.29,3.6,1.18,37.9,0.99,0.58,61.4,6.0,1.94,25.6,40,43397,52.9,4.7,66.4,1298,1.09,0.3,14.9,6.36,2.29,2.8,161.9,6.31,6.1,2.64,2.4,29.7,0.94,2.21,1982,51.3,2.76,7.3,1.13
5216,Juan Martin Del Potro,30,Argentina,97.0,198.0,True,True,2005,25359003,22,1,1,0,4,3,4,3,2329,33,72.2,70.9,69.6,75.0,72.9,46.7,65.6,83.3,78.9,72.7,78.9,68.6,43.8,92.6,32.0,58.9,80.0,71.9,71.5,71.4,73.0,43.5,35.2,40.8,52.2,64.7,69.8,62.9,100.0,57.6,65.1,71.7,77.1,74.3,90.9,56.3,69.6,69.1,69.2,77.3,73.3,72.7,40.0,52.3,20.6,8.1,19.0,46.5,21.8,4.9,6.3,9.9,10.6,53.2,2.48,187,51.8,1523,0.7366666666666667,1.28,1332,47266,265,156,28,1.67,0.66,84.9,2010,599,126,1599,1.3,40.1,4.65,63.8,0.61,74.5,1.05,1.22,6.18,0.41,8179,63.3,21.1,0.91,9.8,65.3,1.07,14821,9.73,0.44,1.27,7.4,67.2,1.16,41.8,1.04,114.0,58.9,25.3,0.74,2.3,45.2,8.3,66.8,3.1,17.4,430,1023,1.12,31.3,1.37,3.5,1.23,38.6,0.96,0.61,61.4,9.0,3.25,24.7,61,90167,55.2,3.0,71.8,4145,1.14,0.19,10.2,6.42,2.01,2.95,155.2,6.3,5.1,2.54,1.9,29.9,0.95,2.06,4328,52.4,2.95,7.5,1.08
4728,Kevin Anderson,32,South Africa,0.0,203.0,True,True,2007,15732933,6,0,0,0,5,5,8,7,2182,114,61.1,53.4,59.0,0.0,63.9,50.0,53.8,50.0,58.1,60.9,88.9,57.1,58.3,84.2,29.6,55.0,60.5,60.3,53.4,57.7,65.5,0.0,27.5,21.3,31.2,45.5,54.8,31.6,0.0,63.3,44.6,54.8,60.8,69.1,68.8,66.7,63.0,57.9,55.7,59.4,61.8,46.7,33.3,35.5,21.7,16.4,26.3,29.2,24.8,12.4,8.8,8.8,15.9,53.2,2.19,164,47.0,1430,0.6516666666666667,1.1,1610,45377,349,192,39,1.24,0.48,86.8,1960,544,69,1636,1.14,34.5,4.09,64.6,0.46,76.9,1.01,1.08,6.18,0.39,7487,65.9,12.7,1.15,15.5,65.6,1.05,14408,10.08,0.64,1.27,12.7,56.4,1.09,36.0,1.02,107.0,55.0,16.4,0.67,3.0,41.3,10.4,68.5,2.2,24.4,323,806,1.07,30.1,1.16,3.7,0.82,34.4,0.97,0.95,63.4,7.3,4.2,26.5,95,88593,52.0,3.7,59.4,3268,1.05,0.23,17.5,6.39,1.97,4.84,165.6,6.28,5.1,2.63,1.8,26.3,0.96,1.95,6769,51.2,2.29,6.0,1.05
3819,Roger Federer,37,Switzerland,85.0,185.0,True,False,1998,120514916,99,20,27,6,6,1,3,1,2550,1,83.4,75.9,87.1,72.5,86.1,79.2,77.8,72.2,86.7,80.6,83.3,64.9,58.0,93.3,41.1,64.8,55.0,82.5,79.9,80.5,84.8,34.5,59.3,65.3,70.2,77.8,80.7,66.0,0.0,75.1,81.0,85.9,87.6,85.1,90.9,85.4,83.0,83.1,84.7,80.8,80.2,76.2,77.4,60.2,20.1,10.3,9.5,63.2,15.2,6.3,4.5,5.6,5.2,56.8,2.64,259,50.9,3823,0.6133333333333333,1.4,2624,120518,676,438,27,2.37,0.67,88.7,2018,1444,75,4080,1.41,40.0,3.89,61.9,0.65,77.3,1.07,1.31,6.06,0.34,21493,67.1,5.2,0.72,10.1,67.9,1.08,36979,9.67,0.47,1.28,7.8,76.0,1.31,41.2,1.07,98.0,64.8,26.7,0.55,1.9,37.6,6.4,69.5,3.4,17.7,1183,2904,1.2,17.9,1.51,3.5,1.28,39.8,0.93,0.61,61.4,5.8,4.13,25.6,184,222607,58.1,2.4,81.9,6709,1.25,0.15,12.8,6.63,1.67,2.99,161.1,6.34,4.4,2.65,1.4,32.5,0.97,1.85,10832,54.1,3.1,8.1,1.04
5442,Kei Nishikori,29,Japan,77.0,178.0,True,True,2007,21673386,12,0,0,0,7,4,6,4,2296,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.57,144,53.0,1444,0.6649999999999999,1.22,1432,43875,201,121,33,1.38,0.68,80.6,1992,559,66,1652,1.27,40.5,4.28,61.1,0.65,71.1,1.04,1.17,6.36,0.5,7415,61.3,11.8,1.03,4.4,64.7,1.09,13775,9.54,0.36,1.26,3.4,62.9,1.1,41.0,1.03,104.0,60.2,26.8,0.92,2.6,40.8,8.8,64.1,3.3,13.9,382,908,1.17,25.8,1.32,3.8,1.28,39.5,0.97,0.28,61.3,8.2,1.3,24.6,78,84999,53.8,3.4,68.3,3532,1.06,0.22,14.0,6.52,2.39,1.34,157.1,6.44,6.1,2.58,2.4,30.5,0.96,2.28,1860,51.6,3.12,8.0,1.04
6219,Dominic Thiem,25,Austria,82.0,185.0,True,False,2011,14132144,11,0,0,0,8,4,13,8,2201,89,55.3,74.5,51.9,0.0,69.6,33.3,55.7,0.0,60.8,68.9,66.7,60.6,50.0,89.4,29.5,51.9,47.1,65.2,53.2,61.6,68.4,22.2,32.3,31.9,38.3,55.9,63.2,61.1,0.0,66.7,56.3,60.0,66.0,62.2,84.0,33.3,49.3,56.4,64.3,76.1,71.4,71.4,50.0,40.1,21.2,13.0,25.7,36.1,26.4,8.3,8.3,8.3,12.5,53.0,2.47,123,49.9,910,0.6066666666666667,1.16,1039,28922,160,83,37,1.36,0.62,82.8,1964,355,47,936,1.19,38.2,3.89,58.8,0.61,74.3,1.03,1.13,6.27,0.46,4713,62.9,13.2,1.16,7.6,65.3,1.06,8920,9.8,0.45,1.26,6.0,59.7,1.09,38.5,1.04,97.0,51.9,23.3,0.84,3.0,38.1,9.2,65.5,2.9,17.6,224,543,1.01,34.6,1.23,3.3,1.14,37.7,0.96,0.48,62.7,6.5,2.02,25.1,76,56349,52.8,3.8,63.1,1859,1.04,0.24,21.4,6.54,2.27,2.34,160.1,6.4,5.8,2.56,2.1,30.1,0.96,2.16,2101,51.3,2.97,7.6,1.02
4544,John Isner,33,United States,0.0,206.0,True,True,2007,16888108,14,0,1,0,9,8,26,10,2147,72,63.2,54.3,65.7,0.0,62.9,0.0,59.6,75.0,55.3,67.3,57.7,57.4,37.9,84.6,30.3,60.8,56.3,62.9,53.6,61.9,60.9,18.2,20.8,28.6,36.6,45.5,57.8,53.8,0.0,55.3,57.3,61.5,57.0,75.5,76.6,0.0,56.3,60.6,63.2,65.6,67.4,33.3,25.0,35.4,26.8,17.9,19.9,33.3,20.0,8.1,13.3,13.3,11.9,56.1,1.86,210,42.0,1730,0.6183333333333334,1.15,1419,55771,651,396,41,1.26,0.35,91.7,1953,637,72,2024,1.2,30.0,3.84,68.9,0.34,78.5,1.01,1.14,6.18,0.28,9438,70.8,11.3,0.85,20.4,66.4,1.05,18391,10.63,1.02,1.28,18.1,58.6,1.05,30.7,1.0,109.0,60.8,10.5,0.44,2.3,40.8,8.3,71.5,1.5,37.6,393,1013,1.2,33.0,1.22,3.7,0.56,29.9,0.97,1.26,66.0,8.9,7.92,28.9,138,109973,51.3,2.6,61.7,4893,1.05,0.16,21.7,6.24,1.52,6.75,177.7,6.21,4.1,2.72,1.2,22.6,0.99,1.76,11234,50.7,1.81,4.9,1.03
5220,Marin Cilic,30,Croatia,82.0,198.0,True,True,2005,26106425,18,1,1,0,10,3,9,6,2231,53,66.1,62.6,71.0,44.4,72.6,16.7,54.2,57.1,66.9,71.7,72.5,58.6,64.4,86.2,30.0,53.4,44.4,65.6,65.4,63.0,72.7,14.3,16.9,29.1,38.8,53.1,61.8,56.3,0.0,58.2,52.9,67.3,68.8,70.4,85.1,16.7,67.1,63.8,64.7,64.7,64.9,71.0,60.0,42.4,20.1,15.0,22.5,42.6,13.8,15.4,8.5,7.4,12.2,52.9,2.49,196,50.2,1964,0.6583333333333333,1.19,1993,60329,348,186,36,1.45,0.61,84.0,1974,735,64,2044,1.22,38.5,4.2,56.4,0.59,76.8,1.04,1.15,6.23,0.44,10284,63.9,8.7,1.07,11.4,64.6,1.06,19097,9.72,0.47,1.27,9.1,61.7,1.13,39.0,1.04,108.0,53.4,23.2,0.78,2.8,40.9,8.0,66.4,3.0,17.7,482,1211,1.03,26.7,1.26,3.5,1.12,38.0,0.96,0.71,62.2,6.7,3.25,26.0,132,116190,53.9,3.5,65.6,3944,1.08,0.22,18.0,6.56,2.17,3.47,164.1,6.38,5.7,2.67,2.1,30.4,0.96,2.1,6476,51.9,2.87,7.6,1.03
