ranking;player_id;player_name
1;4920;Novak Djokovic
2;4742;Rafael Nadal
3;644;Alexander Zverev
4;5216;Juan Martin Del Potro
5;4728;Kevin Anderson
6;3819;Roger Federer
7;5442;Kei Nishikori
8;6219;Dominic Thiem
9;4544;John Isner
10;5220;Marin Cilic
11;11547;Karen Khachanov
12;26578;Stefanos Tsitsipas
13;6418;Borna Coric
14;5670;Milos Raonic
15;4921;Fabio Fognini
16;6407;Daniil Medvedev
17;5131;Roberto Bautista Agut
18;6051;Marco Cecchinato
19;6029;Diego Sebastian Schwartzman
20;5918;Nikoloz Basilashvili
21;5663;David Goffin
22;6284;Lucas Pouille
23;5793;Pablo Carreno Busta
24;5763;Grigor Dimitrov
25;33215;Denis Shapovalov
26;4269;Fernando Verdasco
27;45107;Alex De Minaur
28;6364;Kyle Edmund
29;26011;Frances Tiafoe
30;4752;Richard Gasquet
31;4467;Gilles Simon
32;4259;Philipp Kohlschreiber
33;4789;Gael Monfils
34;5438;Steve Johnson
35;4868;Jeremy Chardy
36;5718;Pierre Hugues Herbert
37;5349;John Millman
38;5902;Marton Fucsovics
39;5364;Martin Klizan
40;4311;Andreas Seppi
41;5303;Joao Sousa
42;26007;Taylor Harry Fritz
43;5571;Dusan Lajovic
44;4291;Malek Jaziri
45;5044;Matthew Ebden
46;26414;Matteo Berrettini
47;11769;Nicolas Jarry
48;5166;Adrian Mannarino
49;5016;Sam Querrey
50;5539;Guido Pella
51;4914;Leonardo Mayer
52;11176;Hyeon Chung
53;5055;Mikhail Kukushkin
54;5515;Jan Lennard Struff
55;4894;Robin Haase
56;5986;Damir Dzumhur
57;5370;Aljaz Bedene
58;5324;Benoit Paire
59;4606;Tomas Berdych
60;11415;Jordan Thompson
61;5367;Peter Gojowczyk
62;3852;Feliciano Lopez
63;6031;Denis Kudla
64;5630;Federico Delbonis
65;11787;Cameron Norrie
66;6387;Nick Kyrgios
67;4994;Mischa Zverev
68;4526;Stan Wawrinka
69;6214;Juan Ignacio Londero
70;5922;Filip Krajinovic
71;6401;Yoshihito Nishioka
72;5644;Marius Copil
73;6107;Taro Daniel
74;5805;Guido Andreozzi
75;27835;Hubert Hurkacz
76;5801;Tennys Sandgren
77;44495;Jaume Munar
78;4654;Pablo Cuevas
79;5420;Radu Albot
80;25609;Ilya Ivashka
81;3333;Ivo Karlovic
82;11429;Mackenzie Mcdonald
83;4664;Pablo Andujar
84;5201;Ernests Gulbis
85;9719;Maximilian Marterer
86;5333;Thomas Fabbiano
87;6057;Bernard Tomic
88;44831;Ugo Humbert
89;24021;Reilly Opelka
90;5602;Bradley Klahn
91;11485;Laslo Djere
92;5978;Ryan Harrison
93;6412;Christian Garin
94;5528;Evgeny Donskoy
95;6196;Jiri Vesely
96;5070;Albert Ramos
97;5422;Prajnesh Gunneswaran
98;44526;Lloyd George Muirhead Harris
99;25898;Andrey Rublev
100;5148;Pedro Sousa
101;5565;Vasek Pospisil
