title;location;date;players;surface;court_type;prize;winner
Doha;Doha;2000.01.03;32;Hard;Outdoor;$1,000,000;Fabrice Santoro
Chennai;Chennai;2000.01.03;32;Hard;Outdoor;$430,000;Jerome Golmard
Adelaide;Adelaide;2000.01.03;32;Hard;Outdoor;$350,000;Lleyton Hewitt
Auckland;Auckland;2000.01.10;32;Hard;Outdoor;$350,000;Magnus Norman
Sydney;Sydney;2000.01.10;32;Hard;Outdoor;$350,000;Lleyton Hewitt
Australian Open;Melbourne;2000.01.17;128;Hard;Outdoor;$3,864,414;Andre Agassi
Dubai;Dubai;2000.02.07;32;Hard;Outdoor;$1,000,000;Nicolas Kiefer
Marseille;Marseille;2000.02.07;32;Hard;Indoor;$500,000;Marc Rosset
San Jose;San Jose;2000.02.07;32;Hard;Indoor;$375,000;Mark Philippoussis
Rotterdam;Rotterdam;2000.02.14;32;Hard;Indoor;$850,000;Cedric Pioline
Memphis;Memphis;2000.02.14;48;Hard;Indoor;$800,000;Magnus Larsson
London;London;2000.02.21;32;Hard;Indoor;$800,000;Marc Rosset
Mexico City;Mexico City;2000.02.21;32;Clay;Outdoor;$800,000;Juan Ignacio Chela
Santiago;Santiago;2000.02.28;32;Clay;Outdoor;$375,000;Gustavo Kuerten
Copenhagen;Copenhagen;2000.02.28;32;Hard;Indoor;$350,000;Andreas Vinciguerra
Delray Beach;Delray Beach;2000.02.28;32;Hard;Outdoor;$350,000;Stefan Koubek
Bogota;Bogota;2000.03.06;32;Clay;Outdoor;$375,000;Mariano Puerta
Scottsdale;Scottsdale;2000.03.06;32;Hard;Outdoor;$375,000;Lleyton Hewitt
ATP Masters Series Indian Wells;Indian Wells;2000.03.13;64;Hard;Outdoor;$2,950,000;Alex Corretja
ATP Masters Series Miami;Miami;2000.03.20;96;Hard;Outdoor;$3,200,000;Pete Sampras
Estoril;Estoril;2000.04.10;32;Clay;Outdoor;$625,000;Carlos Moya
Atlanta;Atlanta;2000.04.10;32;Clay;Outdoor;$375,000;Andrew Ilie
Casablanca;Casablanca;2000.04.10;32;Clay;Outdoor;$350,000;Fernando Vicente
ATP Masters Series Monte Carlo;Monte Carlo;2000.04.17;64;Clay;Outdoor;$2,950,000;Cedric Pioline
Barcelona;Barcelona;2000.04.24;56;Clay;Outdoor;$1,000,000;Marat Safin
Mallorca;Mallorca;2000.05.01;32;Clay;Outdoor;$500,000;Marat Safin
Munich;Munich;2000.05.01;32;Clay;Outdoor;$400,000;Franco Squillari
Orlando;Orlando;2000.05.01;32;Clay;Outdoor;$350,000;Fernando Gonzalez
ATP Masters Series Rome;Rome;2000.05.08;64;Clay;Outdoor;$2,950,000;Magnus Norman
ATP Masters Series Hamburg;Hamburg;2000.05.15;64;Clay;Outdoor;$2,950,000;Gustavo Kuerten
World Team Cup;Dusseldorf;2000.05.21;64;Clay;Outdoor;$1,900,000;Dominik Hrbaty
St. Poelten;St. Poelten;2000.05.22;32;Clay;Outdoor;$425,000;Andrei Pavel
