player_id;player_name;age;country;height;weight;favorite_hand;backhand;turned_Pro;seasons;is_active;prize_money;titles;grand_slams;masters;finals;current_rank;best_rank
4742;Rafael Nadal;33 (03-06-1986);Spain;85 kg;185 cm;Left-handed;Two-handed;2001;;Yes ;US$115,178,858 3rd all-time leader in earnings;84;19;35;;1 (9585);1 (
4920;Novak Djokovic;32 (22-05-1987);Serbia;77 kg;188 cm;Right-handed;Two-handed;2003;;Yes ;US$135,259,120 All-time leader in earnings;77;16;34;5;2 (8945);1 (
3819;Roger Federer;38 (08-08-1981);Switzerland;85 kg;185 cm;Right-handed;One-handed;1998;;Yes ;$126,840,700 2nd all-time leader in earnings;103;20;28;6;3 (6190);1 (
6407;Daniil Medvedev;23 (11-02-1996);Russian Federation;;;Right-handed;Two-handed;2014;;Yes ;US$$8,171,483;7;;2;;4 (5705);4 (
6219;Dominic Thiem;26 (03-09-1993);Austria;82 kg;185 cm;Right-handed;One-handed;2011;;Yes ;US$18,588,662 23rd all-time leader in earnings;16;;1;;5 (5025);4 (
26578;Stefanos Tsitsipas;21 (12-08-1998);Greece;;;Right-handed;One-handed;2016;;Yes ;US$6,177,147;3;;;;6 (4000);5 (
644;Alexander Zverev;22 (20-04-1997);Germany;86 kg;198 cm;Right-handed;Two-handed;2013;;Yes ;US$17,914,291 26th all-time in earnings;11;;3;1;7 (2945);3 (
26414;Matteo Berrettini;23 (12-04-1996);Italy;;;;Two-handed;2015;;Yes ;$2,957,626;3;;;;8 (2670);8 (
5131;Roberto Bautista Agut;31 (14-04-1988);Spain;;183 cm;Right-handed;Two-handed;2005;;Yes ;US$11,397,925;9;;;;9 (2540);9 (
4789;Gael Monfils;33 (01-09-1986);France;80 kg;193 cm;Right-handed;Two-handed;2004;;Yes ;US$17,211,980 33rd all-time leader in earnings;8;;;;10 (2530);6 (
5663;David Goffin;28 (07-12-1990);Belgium;;163 cm;Right-handed;Two-handed;2009;;Yes ;US$12,741,033;4;;;;11 (2335);7 (
4921;Fabio Fognini;32 (24-05-1987);Italy;;178 cm;Right-handed;Two-handed;2004;;Yes ;US$13,470,614;9;;1;;12 (2290);9 (
5442;Kei Nishikori;29 (29-12-1989);Japan;77 kg;178 cm;Right-handed;Two-handed;2007;;Yes ;US$23,644,511 14th all-time leader in earnings;12;;;;13 (2180);4 (
6029;Diego Sebastian Schwartzman;27 (16-08-1992);Argentina;;170 cm;Right-handed;Two-handed;2010;;Yes ;$6,132,261;3;;;;14 (2125);11 (
33215;Denis Shapovalov;20 (15-04-1999);Canada;;;Left-handed;One-handed;2017;;Yes ;US$3,652,561;1;;;;15 (2050);15 (
