player_id,player_name,age,country,favorite_hand,backhand,turned_pro,prize_money,titles,grand_slams,masters,finals,current_rank,best_rank,hard,clay,grass,grand_slam,tour_finals,masters,olympics,atp_500,atp_250,davis_cup,deciding_set,fifth_set,after_winning_1st_set,after_losing_1st_set,tie_breaks,deciding_set_tie_breaks,outdoor,indoor,best_of_3,best_of_5,vs_no._1,vs_top_5,vs_top_10,vs_top_20,vs_top_50,vs_top_100,final,for_bronze_medal,semi_final,quarter_final,round_of_16,round_of_32,round_of_64,round_of_128,very_fast,fast,medium_fast,medium,medium_slow,slow,very_slow,win,final,semi_final,quarter_final,round_of_16,round_of_32,round_of_64,round_of_128,ace_%,double_fault_%,1st_serve_%,1st_serve_won_%,2nd_serve_won_%,break_points_saved_%,service_points_won_%,service_games_won_%,ace_against_%,double_fault_against_%,1st_srv._return_won_%,2nd_srv._return_won_%,break_points_won_%,return_points_won_%,return_games_won_%,points_dominance,games_dominance,break_points_ratio,total_points_won_%,games_won_%,sets_won_%,matches_won_%,match_time,ace_%,aces_per_svc._game,aces_per_set,aces_per_match,double_fault_%,dfs_per_2nd_serve_%,dfs_per_svc._game,dfs_per_set,dfs_per_match,aces_/_dfs_ratio,ace_against_%,double_fault_against_%,1st_serve_%,1st_serve_won_%,2nd_serve_won_%,1st_serve_effectiveness,serve_rating,service_points_won_%,svc._in_play_pts._won_%,points_per_service_game,pts._lost_per_svc._game,break_points_saved_%,bps_per_svc._game,bps_faced_per_set,bps_faced_per_match,service_games_won_%,svc._gms._lost_per_set,svc._gms._lost_per_match,1st_srv._return_won_%,2nd_srv._return_won_%,return_rating,return_points_won_%,rtn._in_play_pts._won_%,points_per_return_game,pts._won_per_rtn._game,break_points_won_%,bps_per_return_game,bps_per_set,bps_per_match,return_games_won_%,rtn._gms._won_per_set,rtn._gms._won_per_match,total_points_won_%,tot._2nd_srv._in_pl._pts._w._%,rtn._to_svc._points_ratio,points_per_game,points_per_set,points_per_match,games_won_%,games_per_set,games_per_match,tie_breaks_won_%,tie_breaks_per_set_%,tie_breaks_per_match,sets_won_%,sets_per_match,matches_won_%,points_dominance,in_play_points_dominance,2nd_srv._in_play_pts._dom.,games_dominance,break_points_ratio,pts._to_matches_over_perf.,pts._to_sets_over_perf.,pts._to_gms._over_perf.,s._pts._to_s._gms._ov._perf.,r._pts._to_r._gms._ov._perf.,pts._to_tbs._over_perf.,gms._to_matches_ov._perf.,gms._to_sets_over_perf.,sets_to_matches_ov._perf.,bps_over_performing,bps_saved_over_perf.,bps_conv._over_perf.,opponent_rank,opponent_elo_rating,upsets_scored_%,upsets_against_%,upsets_%,point_time,game_time,set_time,match_time
4742,Rafael Nadal,33,Spain,Left-handed,Two-handed,2001,115178858,84,19,35,0,1,1,77.9,91.8,78.0,87.7,55.2,82.9,83.3,86.5,74.1,96.0,68.5,66.7,95.1,42.6,61.2,51.4,84.9,66.4,81.1,88.3,52.6,60.0,65.5,71.7,77.9,82.3,69.4,0.0,74.8,77.7,89.0,89.8,89.0,96.6,74.9,75.5,78.8,85.8,89.2,91.5,95.8,30.2,69.4,74.8,77.7,89.0,89.8,89.0,96.6,4.1,2.2,68.4,72.0,57.4,66.4,67.4,85.8,7.3,3.4,34.3,55.3,44.9,42.5,33.5,1.30,2.35,1.34,54.5,59.9,77.6,83.2,1:53,4.1,0.25,1.19,3.0,2.2,6.9,0.13,0.63,1.6,1.89,7.3,3.4,68.4,72.0,57.4,1.25,352,67.4,67.5,6.11,1.99,66.4,0.42,1.98,5.0,85.8,0.67,1.7,34.3,55.3,168,42.5,43.7,6.57,2.79,44.9,0.74,3.46,8.8,33.5,1.56,4.0,54.5,55.7,1.07,6.34,59.2,150.4,59.9,9.32,23.8,61.2,12.9,0.33,77.6,2.56,83.2,1.30,1.35,1.33,2.35,1.34,1.53,1.42,1.10,1.27,0.79,1.12,1.39,1.30,1.07,0.97,0.99,1.06,27,2021,4.7,12.6,17.3,0.7516666666666667,4.77,44.5,113
4920,Novak Djokovic,32,Serbia,Right-handed,Two-handed,2003,135259120,77,16,34,5,2,1,84.2,79.6,84.1,86.7,74.5,81.8,69.2,86.3,77.2,81.6,73.0,75.0,95.9,41.9,64.3,72.7,83.8,77.2,81.2,86.1,43.3,60.2,68.5,72.0,78.8,81.9,69.1,50.0,72.7,82.1,86.9,90.2,87.5,95.1,82.6,81.1,85.2,85.9,83.3,78.7,68.6,31.0,69.1,72.7,82.1,86.9,90.2,87.5,95.1,7.0,2.9,64.9,73.6,55.5,65.5,67.2,85.8,6.3,3.5,33.7,55.1,44.4,42.1,32.1,1.29,2.26,1.29,54.4,59.2,76.0,82.9,1:49,7.0,0.43,2.06,5.4,2.9,8.4,0.18,0.87,2.3,2.38,6.3,3.5,64.9,73.6,55.5,1.32,349,67.2,66.9,6.17,2.02,65.5,0.41,1.97,5.1,85.8,0.68,1.8,33.7,55.1,165,42.1,42.8,6.64,2.80,44.4,0.72,3.36,8.8,32.1,1.49,3.9,54.4,55.3,1.05,6.40,60.4,158.0,59.2,9.43,24.8,64.3,13.6,0.36,76.0,2.63,82.9,1.29,1.29,1.29,2.26,1.29,1.52,1.40,1.09,1.28,0.76,1.18,1.40,1.28,1.09,0.96,0.97,1.05,24,2041,5.4,12.0,17.4,0.6950000000000001,4.45,42.0,109
3819,Roger Federer,38,Switzerland,Right-handed,One-handed,1998,126840700,103,20,28,6,3,1,83.5,76.1,87.4,86.0,79.2,77.9,72.2,87.6,80.6,83.3,64.7,55.8,93.3,41.7,65.2,55.6,82.6,80.2,80.8,84.8,33.3,58.5,64.8,70.3,78.1,80.9,66.0,0.0,75.4,80.4,86.1,88.1,85.6,91.3,84.2,83.3,83.8,81.0,77.8,77.8,76.7,28.6,66.0,75.4,80.4,86.1,88.1,85.6,91.3,10.1,2.4,62.1,77.4,56.8,67.3,69.6,88.8,5.8,3.6,32.5,50.9,41.2,39.8,26.7,1.31,2.39,1.26,54.2,58.2,76.1,82.1,1:38,10.1,0.61,2.97,7.8,2.4,6.4,0.15,0.72,1.9,4.14,5.8,3.6,62.1,77.4,56.8,1.36,360,69.6,68.0,6.05,1.84,67.3,0.34,1.67,4.4,88.8,0.55,1.4,32.5,50.9,151,39.8,40.0,6.63,2.64,41.2,0.65,3.10,8.1,26.7,1.28,3.4,54.2,53.1,1.07,6.34,61.3,161.0,58.2,9.66,25.6,65.2,17.5,0.46,76.1,2.65,82.1,1.31,1.25,1.17,2.39,1.26,1.52,1.40,1.07,1.28,0.67,1.20,1.41,1.31,1.08,0.93,0.97,1.04,27,2017,5.1,12.6,17.7,0.615,3.89,37.6,98
6407,Daniil Medvedev,23,Russian Federation,Right-handed,Two-handed,2014,,7,0,2,0,4,4,70.2,38.5,60.0,58.6,0,58.8,0,70.2,67.6,50.0,55.7,0.0,89.1,26.9,62.9,58.3,62.2,71.4,65.5,58.6,66.7,26.7,39.1,52.2,54.9,61.5,53.8,0,68.4,67.9,73.7,62.3,58.6,60.0,71.1,63.9,73.9,27.8,55.6,55.6,0.0,9.1,53.8,68.4,67.9,73.7,62.3,58.6,60.0,9.8,4.7,59.1,73.7,51.5,62.3,64.7,81.2,6.0,3.8,29.5,52.5,40.7,38.4,25.1,1.09,1.34,1.08,51.5,53.1,61.4,64.5,1:41,9.8,0.62,2.97,7.5,4.7,11.4,0.30,1.41,3.6,2.11,6.0,3.8,59.1,73.7,51.5,1.43,333,64.7,64.1,6.34,2.24,62.3,0.50,2.37,6.0,81.2,0.89,2.3,29.5,52.5,148,38.4,38.4,6.39,2.46,40.7,0.62,2.95,7.5,25.1,1.20,3.0,51.5,52.8,1.01,6.37,60.8,153.7,53.1,9.56,24.2,62.9,14.1,0.36,61.4,2.53,64.5,1.09,1.07,1.13,1.34,1.08,1.25,1.19,1.03,1.26,0.65,1.22,1.21,1.16,1.05,0.98,0.96,1.06,38,1966,21.8,12.7,34.5,0.66,4.20,40.1,101
6219,Dominic Thiem,26,Austria,Right-handed,One-handed,2011,18588662,16,0,1,0,5,4,58.3,74.9,50.0,69.2,33.3,57.8,0,66.7,69.9,66.7,63.6,53.8,89.8,31.4,52.7,44.4,66.7,56.5,64.1,68.2,27.3,37.8,37.5,45.5,59.6,64.9,66.7,0,68.6,58.6,63.4,68.2,62.5,78.6,58.6,52.1,56.7,79.5,76.2,50.0,60.0,10.3,66.7,68.6,58.6,63.4,68.2,62.5,78.6,7.5,3.6,59.8,74.2,53.3,62.7,65.8,83.0,6.4,3.3,30.1,50.1,39.0,37.8,23.5,1.11,1.38,1.04,51.5,53.1,60.7,65.0,1:39,7.5,0.47,2.28,5.8,3.6,9.0,0.23,1.11,2.8,2.06,6.4,3.3,59.8,74.2,53.3,1.39,337,65.8,65.6,6.24,2.13,62.7,0.46,2.24,5.7,83.0,0.83,2.1,30.1,50.1,143,37.8,38.2,6.52,2.46,39.0,0.60,2.97,7.5,23.5,1.16,2.9,51.5,52.0,1.05,6.38,62.5,159.1,53.1,9.81,25.1,52.7,17.5,0.45,60.7,2.55,65.0,1.11,1.11,1.10,1.38,1.04,1.26,1.18,1.03,1.26,0.62,1.02,1.22,1.14,1.07,0.95,0.95,1.03,36,1970,12.4,21.2,33.6,0.6233333333333333,3.98,39.0,99
26578,Stefanos Tsitsipas,21,Greece,Right-handed,One-handed,2016,6177147,3,0,0,0,6,5,59.4,66.7,53.3,56.5,0,56.8,0,68.1,58.5,0,55.8,33.3,89.0,28.8,57.6,54.5,60.8,60.0,61.4,56.5,20.0,29.4,38.7,47.9,57.4,57.4,37.5,0,50.0,62.5,69.4,62.8,62.5,50.0,64.5,41.7,61.5,60.0,63.6,75.0,0,6.2,37.5,50.0,62.5,69.4,62.8,62.5,50.0,8.6,3.0,60.6,75.7,53.1,62.9,66.8,84.3,6.3,3.3,28.0,47.7,37.9,35.3,19.1,1.06,1.22,1.02,51.1,52.0,57.0,60.6,1:52,8.6,0.53,2.71,6.9,3.0,7.6,0.19,0.94,2.4,2.87,6.3,3.3,60.6,75.7,53.1,1.43,342,66.8,65.8,6.23,2.07,62.9,0.42,2.15,5.5,84.3,0.80,2.0,28.0,47.7,133,35.3,35.3,6.33,2.23,37.9,0.50,2.51,6.4,19.1,0.95,2.4,51.1,50.3,1.00,6.28,63.0,161.8,52.0,10.04,25.8,57.6,21.4,0.55,57.0,2.57,60.6,1.06,1.03,1.00,1.22,1.02,1.19,1.12,1.02,1.26,0.54,1.13,1.17,1.10,1.06,0.97,0.94,1.08,30,1986,17.4,18.1,35.5,0.6933333333333334,4.35,43.7,112
644,Alexander Zverev,22,Germany,Right-handed,Two-handed,2013,17914291,11,0,3,1,7,3,64.1,69.8,63.2,64.0,62.5,66.3,0,67.0,67.1,50.0,59.2,68.4,83.9,32.5,57.9,73.3,67.2,59.3,66.7,62.1,25.0,45.5,42.6,48.9,58.6,63.2,61.1,0,56.3,67.4,68.7,64.4,70.3,81.0,59.1,70.6,71.4,71.7,60.5,64.3,66.7,9.5,61.1,56.3,67.4,68.7,64.4,70.3,81.0,9.9,5.2,63.4,73.2,50.1,60.2,64.7,81.0,5.7,3.6,30.2,50.7,42.0,38.2,24.8,1.08,1.30,1.06,51.3,52.9,61.0,65.8,1:41,9.9,0.62,3.01,8.0,5.2,14.2,0.33,1.58,4.2,1.91,5.7,3.6,63.4,73.2,50.1,1.46,333,64.7,64.6,6.27,2.21,60.2,0.48,2.32,6.1,81.0,0.92,2.4,30.2,50.7,148,38.2,38.1,6.40,2.44,42.0,0.59,2.86,7.6,24.8,1.20,3.2,51.3,51.6,1.02,6.32,61.4,162.4,52.9,9.72,25.7,57.9,16.3,0.43,61.0,2.64,65.8,1.08,1.08,1.10,1.30,1.06,1.28,1.19,1.03,1.25,0.65,1.13,1.25,1.15,1.08,0.98,0.93,1.10,35,1974,12.6,18.2,30.8,0.6216666666666666,3.93,38.2,101
26414,Matteo Berrettini,23,Italy,0,Two-handed,2015,2957626,3,0,0,0,8,8,50.0,66.7,70.6,60.0,0,41.2,0,53.8,66.7,0,55.2,100.0,88.2,30.0,55.6,50.0,60.0,56.3,59.3,60.0,0,33.3,45.5,55.6,58.5,58.8,75.0,0,44.4,81.8,50.0,65.6,53.8,50.0,64.9,53.8,52.4,50.0,76.5,0.0,0.0,6.8,75.0,44.4,81.8,50.0,65.6,53.8,50.0,10.7,2.7,61.3,77.1,53.2,66.4,67.9,85.8,5.5,3.8,27.2,46.9,35.1,34.6,16.9,1.08,1.20,1.04,50.8,51.3,55.9,59.4,1:51,10.7,0.66,3.25,8.5,2.7,7.1,0.17,0.83,2.2,3.90,5.5,3.8,61.3,77.1,53.2,1.45,352,67.9,66.0,6.14,1.97,66.4,0.42,2.09,5.4,85.8,0.70,1.8,27.2,46.9,126,34.6,34.0,6.42,2.22,35.1,0.48,2.40,6.3,16.9,0.84,2.2,50.8,49.2,1.05,6.29,62.5,162.7,51.3,9.94,25.9,55.6,20.5,0.53,55.9,2.60,59.4,1.08,1.00,0.96,1.20,1.04,1.17,1.10,1.01,1.26,0.49,1.09,1.16,1.09,1.06,0.98,0.98,1.01,40,1954,25.7,14.9,40.6,0.6866666666666668,4.31,42.9,111
5131,Roberto Bautista Agut,31,Spain,Right-handed,Two-handed,2005,11397925,9,0,0,0,9,9,63.2,59.0,70.5,66.3,0,55.4,75.0,57.0,69.0,54.5,58.2,64.7,87.2,28.3,51.1,56.5,63.3,58.8,61.8,65.2,33.3,14.3,18.0,26.5,48.0,58.3,56.3,0,47.1,58.6,55.2,63.2,75.7,81.8,62.9,63.8,70.4,57.1,54.8,45.0,50.0,5.1,56.3,47.1,58.6,55.2,63.2,75.7,81.8,4.0,2.5,65.8,69.9,53.8,62.0,64.4,80.4,8.5,3.7,30.5,52.8,41.6,39.4,26.1,1.11,1.33,1.09,51.8,53.5,59.6,62.5,1:41,4.0,0.25,1.23,3.2,2.5,7.4,0.16,0.77,2.0,1.59,8.5,3.7,65.8,69.9,53.8,1.30,333,64.4,64.6,6.31,2.25,62.0,0.52,2.50,6.5,80.4,0.95,2.5,30.5,52.8,151,39.4,40.7,6.58,2.59,41.6,0.63,2.98,7.7,26.1,1.24,3.2,51.8,52.6,1.02,6.44,61.8,159.6,53.5,9.59,24.8,51.1,15.6,0.40,59.6,2.59,62.5,1.11,1.15,1.14,1.33,1.09,1.21,1.15,1.03,1.25,0.66,0.99,1.17,1.11,1.05,0.98,0.96,1.05,40,1956,9.0,18.0,27.0,0.6366666666666667,4.10,39.3,101
4789,Gael Monfils,33,France,Right-handed,Two-handed,2004,17211980,8,0,0,0,10,6,65.8,61.2,58.8,67.7,0.0,57.3,75.0,65.2,64.6,85.7,57.2,53.1,87.1,27.0,57.0,42.9,63.2,66.1,62.5,68.6,5.6,20.7,30.0,39.4,53.1,59.8,27.6,0,46.7,60.0,68.8,63.9,67.5,82.8,64.3,63.0,63.2,65.6,67.0,55.3,50.0,2.9,27.6,46.7,60.0,68.8,63.9,67.5,82.8,10.3,4.4,62.3,72.9,50.0,61.5,64.3,80.8,4.2,3.2,31.9,49.1,41.4,38.5,25.1,1.08,1.31,1.08,51.3,53.0,61.4,63.9,1:43,10.3,0.65,3.17,8.3,4.4,11.7,0.28,1.36,3.5,2.33,4.2,3.2,62.3,72.9,50.0,1.46,333,64.3,63.3,6.33,2.26,61.5,0.50,2.42,6.3,80.8,0.93,2.4,31.9,49.1,147,38.5,38.1,6.47,2.49,41.4,0.61,2.94,7.7,25.1,1.22,3.2,51.3,50.3,1.02,6.40,62.1,161.6,53.0,9.70,25.3,57.0,17.2,0.45,61.4,2.61,63.9,1.08,1.04,1.02,1.31,1.08,1.25,1.20,1.03,1.26,0.65,1.11,1.21,1.16,1.04,0.98,0.96,1.07,37,1959,15.3,16.6,31.9,0.6383333333333333,4.09,39.6,103
