player_id,player_name,age,country,favorite_hand,backhand,turned_pro,prize_money,titles,cluster_level,cluster_piso,cluster_pressao,cluster_saque,cluster_duplafalta,cluster_servico,cluster_retorno,cluster_bpcontra,cluster_bpfavor,cluster_pontos,cluster_game,cluster_match,cluster_tiebreak,cluster_upset,cluster_dominance,cluster_rodada,cluster_velocidade,cluster_oponente,hard,clay,grass,grand_slam,tour_finals,masters.1,atp_500,final,semi_final,quarter_final,round_of_16,round_of_32,round_of_64,round_of_128
4742,Rafael Nadal,33,Spain,Left-handed,Two-handed,2001,115178858,84,1,2,1,2,1,2,1,2,2,0,2,1,0,0,2,0,1,1,77.9,91.8,78.0,87.7,55.2,82.9,86.5,69.4,74.8,77.7,89.0,89.8,89.0,96.6
4920,Novak Djokovic,32,Serbia,Right-handed,Two-handed,2003,135259120,77,1,2,1,2,1,2,1,2,2,0,2,1,0,0,2,0,1,1,84.2,79.6,84.1,86.7,74.5,81.8,86.3,69.1,72.7,82.1,86.9,90.2,87.5,95.1
3819,Roger Federer,38,Switzerland,Right-handed,One-handed,1998,126840700,103,1,2,1,0,1,2,1,2,2,0,2,1,0,0,2,0,1,1,83.5,76.1,87.4,86.0,79.2,77.9,87.6,66.0,75.4,80.4,86.1,88.1,85.6,91.3
6407,Daniil Medvedev,23,Russian Federation,Right-handed,Two-handed,2014,,7,2,2,0,0,2,2,1,2,2,0,2,1,0,2,1,0,2,1,70.2,38.5,60.0,58.6,0.0,58.8,70.2,53.8,68.4,67.9,73.7,62.3,58.6,60.0
6219,Dominic Thiem,26,Austria,Right-handed,One-handed,2011,18588662,16,1,2,1,0,1,2,1,2,2,0,2,1,0,0,1,0,1,1,58.3,74.9,50.0,69.2,33.3,57.8,66.7,66.7,68.6,58.6,63.4,68.2,62.5,78.6
26578,Stefanos Tsitsipas,21,Greece,Right-handed,One-handed,2016,6177147,3,0,2,0,0,1,2,2,2,1,0,2,1,0,2,1,0,2,1,59.4,66.7,53.3,56.5,0.0,56.8,68.1,37.5,50.0,62.5,69.4,62.8,62.5,50.0
644,Alexander Zverev,22,Germany,Right-handed,Two-handed,2013,17914291,11,1,2,1,0,0,2,1,0,2,0,2,1,0,0,1,0,1,1,64.1,69.8,63.2,64.0,62.5,66.3,67.0,61.1,56.3,67.4,68.7,64.4,70.3,81.0
26414,Matteo Berrettini,23,Italy,0,Two-handed,2015,2957626,3,0,2,1,0,1,2,2,2,1,0,2,1,0,2,1,0,2,1,50.0,66.7,70.6,60.0,0.0,41.2,53.8,75.0,44.4,81.8,50.0,65.6,53.8,50.0
5131,Roberto Bautista Agut,31,Spain,Right-handed,Two-handed,2005,11397925,9,1,2,1,2,1,2,1,2,2,0,2,1,0,0,1,0,1,1,63.2,59.0,70.5,66.3,0.0,55.4,57.0,56.3,47.1,58.6,55.2,63.2,75.7,81.8
4789,Gael Monfils,33,France,Right-handed,Two-handed,2004,17211980,8,1,2,1,0,2,2,1,2,2,0,2,1,0,0,1,0,1,1,65.8,61.2,58.8,67.7,0.0,57.3,65.2,27.6,46.7,60.0,68.8,63.9,67.5,82.8
5663,David Goffin,28,Belgium,Right-handed,Two-handed,2009,12741033,4,1,2,1,2,2,1,1,0,2,0,2,1,0,0,1,0,1,0,61.3,61.7,55.8,64.2,50.0,58.4,61.0,30.8,48.1,50.0,51.6,62.4,75.7,67.6
4921,Fabio Fognini,32,Italy,Right-handed,Two-handed,2004,13470614,9,1,2,1,2,2,1,1,0,2,0,1,0,0,0,1,0,1,0,48.0,59.0,51.4,54.0,0.0,47.9,55.8,47.4,50.0,57.4,49.6,51.6,56.3,60.7
5442,Kei Nishikori,29,Japan,Right-handed,Two-handed,2007,23644511,12,1,2,1,2,1,2,1,0,2,0,2,1,0,0,1,0,1,1,67.7,70.7,62.5,71.4,35.7,62.7,72.8,46.2,48.1,62.7,66.9,75.2,79.2,72.7
6029,Diego Sebastian Schwartzman,27,Argentina,Right-handed,Two-handed,2010,6132261,3,2,0,1,2,2,1,1,0,2,0,2,0,2,2,1,0,1,0,54.8,54.0,33.3,56.9,0.0,47.6,57.4,42.9,53.8,46.4,50.9,52.4,59.6,57.1
33215,Denis Shapovalov,20,Canada,Left-handed,One-handed,2017,3652561,1,2,0,0,0,0,2,2,2,1,0,1,1,0,2,1,0,2,0,60.2,45.5,25.0,54.5,0.0,60.0,43.5,50.0,12.5,64.3,46.7,55.8,60.0,75.0
4526,Stan Wawrinka,34,Switzerland,Right-handed,One-handed,2002,33086706,16,1,2,1,0,1,2,2,2,2,2,2,1,0,0,1,0,1,1,63.7,66.7,50.0,72.4,46.7,58.9,62.5,53.3,50.0,58.2,60.4,62.0,72.1,83.9
11547,Karen Khachanov,23,Russian Federation,Right-handed,Two-handed,2013,6944315,4,2,2,1,0,1,2,2,2,2,2,2,1,2,2,1,0,1,0,52.8,57.1,66.7,64.9,0.0,54.4,53.1,100.0,50.0,34.8,47.9,58.2,65.6,70.6
45107,Alex De Minaur,20,Australia,Right-handed,Two-handed,2015,2345970,3,0,0,0,2,1,2,2,0,2,2,1,1,0,2,1,0,2,0,63.1,18.2,40.0,52.2,0.0,38.9,58.8,50.0,75.0,70.0,55.6,58.6,44.4,61.5
4544,John Isner,34,United States,Right-handed,Two-handed,2007,18397716,15,1,2,0,1,1,2,0,2,1,2,2,1,0,0,1,0,1,1,63.2,54.3,67.1,62.8,0.0,60.0,56.4,53.6,53.8,59.1,61.0,57.4,76.1,77.6
5763,Grigor Dimitrov,28,Bulgaria,Right-handed,One-handed,2008,17621749,8,1,2,1,0,2,2,2,2,1,0,2,1,0,2,1,0,1,1,61.3,57.5,57.4,61.5,100.0,57.5,54.8,53.3,40.0,57.6,56.6,58.4,71.1,67.5
