player_id;Hard;Clay;Grass;Carpet;Grand Slam;Tour Finals;Masters;Olympics;ATP 500;ATP 250;Davis Cup;Deciding Set;Fifth Set;After Winning 1st Set;After Losing 1st Set;Tie-Breaks;Deciding Set Tie-Breaks;Outdoor;Indoor;Best of 3;Best of 5;Vs No. 1;Vs Top 5;Vs Top 10;Vs Top 20;Vs Top 50;Vs Top 100;Final;For Bronze Medal;Semi-Final;Quarter-Final;Round of 16;Round of 32;Round of 64;Round of 128;Round-Robin;Very Fast;Fast;Medium Fast;Medium;Medium Slow;Slow;Very Slow;Best of 3: 2:0;Best of 3: 2:1;Best of 3: 1:2;Best of 3: 0:2;Best of 5: 3:0;Best of 5: 3:1;Best of 5: 3:2;Best of 5: 2:3;Best of 5: 1:3;Best of 5: 0:3;Win;Final;Semi-Final;Quarter-Final;Round of 16;Round of 32;Round of 64;Round of 128;Round-Robin
4742;77.9% (459-130);91.8% (436-39);78.0% (71-20);25.0% (2-6);87.7% (271-38);55.2% (16-13);82.9% (384-79);83.3% (10-2);86.5% (154-24);74.1% (109-38);96.0% (24-1);68.5% (159-73);66.7% (22-11);95.1% (856-44);42.6% (112-151);61.2% (235-149);51.4% (18-17);84.9% (897-159);66.4% (71-36);81.1% (666-155);88.3% (302-40);52.6% (20-18);60.0% (84-56);65.5% (169-89);71.7% (299-118);77.9% (576-163);82.3% (835-180);69.4% (84-37);0.0% (0-1);74.8% (119-40);77.7% (157-45);89.0% (203-25);89.8% (221-25);89.0% (89-11);96.6% (57-2);63.6% (14-8);74.9% (143-48);75.5% (117-38);78.8% (152-41);85.8% (217-36);89.2% (140-17);91.5% (107-10);95.8% (68-3);64.3% (516/802);17.1% (137/802);7.7% (62/802);10.8% (87/802);63.9% (211/330);18.2% (60/330);6.7% (22/330);3.3% (11/330);3.9% (13/330);3.9% (13/330);30.2% (84/278);69.4% (84-37);74.8% (119-40);77.7% (157-45);89.0% (203-25);89.8% (221-25);89.0% (89-11);96.6% (57-2);63.6% (14-8)
4920;84.2% (570-107);79.6% (215-55);84.1% (95-18);69.2% (9-4);86.7% (280-43);74.5% (35-12);81.8% (355-79);69.2% (9-4);86.3% (101-16);77.2% (78-23);81.6% (31-7);73.0% (176-65);75.0% (30-10);95.9% (781-33);41.9% (108-150);64.3% (247-137);72.7% (16-6);83.8% (767-148);77.2% (122-36);81.2% (580-134);86.1% (309-50);43.3% (13-17);60.2% (97-64);68.5% (204-94);72.0% (308-120);78.8% (588-158);81.9% (781-173);69.1% (76-34);50.0% (1-1);72.7% (109-41);82.1% (138-30);86.9% (173-26);90.2% (193-21);87.5% (84-12);95.1% (58-3);74.3% (26-9);82.6% (200-42);81.1% (150-35);85.2% (184-32);85.9% (177-29);83.3% (75-15);78.7% (48-13);68.6% (24-11);60.5% (421/696);21.0% (146/696);7.9% (55/696);10.6% (74/696);58.7% (199/339);20.1% (68/339);8.8% (30/339);2.9% (10/339);4.7% (16/339);4.7% (16/339);31.0% (77/248);69.1% (76-34);72.7% (109-41);82.1% (138-30);86.9% (173-26);90.2% (193-21);87.5% (84-12);95.1% (58-3);74.3% (26-9)
3819;83.5% (768-152);76.1% (223-70);87.4% (187-27);72.5% (50-19);86.0% (357-58);79.2% (57-15);77.9% (381-108);72.2% (13-5);87.6% (177-25);80.6% (204-49);83.3% (40-8);64.7% (229-125);55.8% (29-23);93.3% (1094-79);41.7% (135-189);65.2% (453-242);55.6% (35-28);82.6% (962-202);80.2% (267-66);80.8% (817-194);84.8% (412-74);33.3% (10-20);58.5% (103-73);64.8% (221-120);70.3% (377-159);78.1% (776-218);80.9% (1070-253);66.0% (103-53);0.0% (0-1);75.4% (156-51);80.4% (189-46);86.1% (236-38);88.1% (266-36);85.6% (125-21);91.3% (73-7);85.4% (41-7);84.2% (277-52);83.3% (209-42);83.8% (280-54);81.0% (222-52);77.8% (91-26);77.8% (56-16);76.7% (46-14);60.5% (603/997);20.1% (200/997);10.2% (102/997);9.2% (92/997);62.7% (301/480);15.8% (76/480);6.0% (29/480);4.8% (23/480);5.4% (26/480);5.2% (25/480);28.6% (103/360);66.0% (103-53);75.4% (156-51);80.4% (189-46);86.1% (236-38);88.1% (266-36);85.6% (125-21);91.3% (73-7);85.4% (41-7)
6407;70.2% (99-42);38.5% (10-16);60.0% (18-12);;58.6% (17-12);;58.8% (30-21);;70.2% (33-14);67.6% (46-22);50.0% (1-1);55.7% (34-27);0.0% (0-5);89.1% (106-13);26.9% (21-57);62.9% (44-26);58.3% (7-5);62.2% (92-56);71.4% (35-14);65.5% (110-58);58.6% (17-12);66.7% (2-1);26.7% (4-11);39.1% (9-14);52.2% (24-22);54.9% (62-51);61.5% (99-62);53.8% (7-6);;68.4% (13-6);67.9% (19-9);73.7% (28-10);62.3% (33-20);58.6% (17-12);60.0% (9-6);;71.1% (54-22);63.9% (23-13);73.9% (34-12);27.8% (5-13);55.6% (5-4);55.6% (5-4);0.0% (0-1);45.5% (75/165);20.6% (34/165);13.3% (22/165);20.6% (34/165);32.1% (9/28);28.6% (8/28);;17.9% (5/28);7.1% (2/28);14.3% (4/28);9.1% (7/77);53.8% (7-6);68.4% (13-6);67.9% (19-9);73.7% (28-10);62.3% (33-20);58.6% (17-12);60.0% (9-6);
6219;58.3% (119-85);74.9% (134-45);50.0% (14-14);;69.2% (54-24);33.3% (3-6);57.8% (63-46);;66.7% (62-31);69.9% (79-34);66.7% (6-3);63.6% (75-43);53.8% (7-6);89.8% (212-24);31.4% (55-120);52.7% (97-87);44.4% (8-10);66.7% (228-114);56.5% (39-30);64.1% (209-117);68.2% (58-27);27.3% (3-8);37.8% (14-23);37.5% (21-35);45.5% (46-55);59.6% (134-91);64.9% (231-125);66.7% (16-8);;68.6% (24-11);58.6% (34-24);63.4% (59-34);68.2% (73-34);62.5% (30-18);78.6% (22-6);33.3% (3-6);58.6% (51-36);52.1% (37-34);56.7% (34-26);79.5% (66-17);76.2% (64-20);50.0% (6-6);60.0% (3-2);42.0% (132/314);21.7% (68/314);11.8% (37/314);24.5% (77/314);34.6% (28/81);27.2% (22/81);8.6% (7/81);7.4% (6/81);11.1% (9/81);11.1% (9/81);10.3% (16/156);66.7% (16-8);68.6% (24-11);58.6% (34-24);63.4% (59-34);68.2% (73-34);62.5% (30-18);78.6% (22-6);33.3% (3-6)
26578;59.4% (60-41);66.7% (26-13);53.3% (8-7);;56.5% (13-10);;56.8% (25-19);;68.1% (32-15);58.5% (24-17);;55.8% (29-23);33.3% (1-2);89.0% (73-9);28.8% (21-52);57.6% (49-36);54.5% (6-5);60.8% (73-47);60.0% (21-14);61.4% (81-51);56.5% (13-10);20.0% (1-4);29.4% (5-12);38.7% (12-19);47.9% (23-25);57.4% (54-40);57.4% (78-58);37.5% (3-5);;50.0% (8-8);62.5% (15-9);69.4% (25-11);62.8% (27-16);62.5% (10-6);50.0% (6-6);;64.5% (40-22);41.7% (10-14);61.5% (16-10);60.0% (12-8);63.6% (7-4);75.0% (9-3);;39.5% (51/129);21.7% (28/129);16.3% (21/129);22.5% (29/129);13.0% (3/23);39.1% (9/23);4.3% (1/23);8.7% (2/23);13.0% (3/23);21.7% (5/23);6.2% (4/65);37.5% (3-5);50.0% (8-8);62.5% (15-9);69.4% (25-11);62.8% (27-16);62.5% (10-6);50.0% (6-6);
644;64.1% (116-65);69.8% (74-32);63.2% (24-14);;64.0% (32-18);62.5% (5-3);66.3% (65-33);;67.0% (61-30);67.1% (47-23);50.0% (4-4);59.2% (71-49);68.4% (13-6);83.9% (177-34);32.5% (37-77);57.9% (81-59);73.3% (11-4);67.2% (182-89);59.3% (32-22);66.7% (178-89);62.1% (36-22);25.0% (1-3);45.5% (10-12);42.6% (20-27);48.9% (43-45);58.6% (109-77);63.2% (175-102);61.1% (11-7);;56.3% (18-14);67.4% (31-15);68.7% (46-21);64.4% (58-32);70.3% (26-11);81.0% (17-4);50.0% (3-3);59.1% (52-36);70.6% (36-15);71.4% (45-18);71.7% (43-17);60.5% (23-15);64.3% (9-5);66.7% (2-1);44.1% (116/263);22.1% (58/263);16.3% (43/263);17.5% (46/263);29.3% (17/58);10.3% (6/58);22.4% (13/58);10.3% (6/58);17.2% (10/58);10.3% (6/58);9.5% (11/116);61.1% (11-7);56.3% (18-14);67.4% (31-15);68.7% (46-21);64.4% (58-32);70.3% (26-11);81.0% (17-4);50.0% (3-3)
26414;50.0% (24-24);66.7% (24-12);70.6% (12-5);;60.0% (12-8);;41.2% (7-10);;53.8% (7-6);66.7% (34-17);;55.2% (16-13);100.0% (3-0);88.2% (45-6);30.0% (15-35);55.6% (30-24);50.0% (2-2);60.0% (51-34);56.3% (9-7);59.3% (48-33);60.0% (12-8);;33.3% (2-4);45.5% (5-6);55.6% (10-8);58.5% (31-22);58.8% (50-35);75.0% (3-1);;44.4% (4-5);81.8% (9-2);50.0% (11-11);65.6% (21-11);53.8% (7-6);50.0% (5-5);;64.9% (24-13);53.8% (7-6);52.4% (11-10);50.0% (5-5);76.5% (13-4);0.0% (0-1);0.0% (0-2);43.2% (35/81);16.0% (13/81);16.0% (13/81);24.7% (20/81);10.0% (2/20);35.0% (7/20);15.0% (3/20);;10.0% (2/20);30.0% (6/20);6.8% (3/44);75.0% (3-1);44.4% (4-5);81.8% (9-2);50.0% (11-11);65.6% (21-11);53.8% (7-6);50.0% (5-5);
5131;63.2% (182-106);59.0% (72-50);70.5% (31-13);;66.3% (55-28);;55.4% (67-54);75.0% (3-1);57.0% (45-34);69.0% (109-49);54.5% (6-5);58.2% (85-61);64.7% (11-6);87.2% (231-34);28.3% (54-137);51.1% (94-90);56.5% (13-10);63.3% (235-136);58.8% (50-35);61.8% (225-139);65.2% (60-32);33.3% (3-6);14.3% (5-30);18.0% (11-50);26.5% (26-72);48.0% (117-127);58.3% (221-158);56.3% (9-7);;47.1% (16-18);58.6% (34-24);55.2% (58-47);63.2% (79-46);75.7% (56-18);81.8% (27-6);;62.9% (56-33);63.8% (51-29);70.4% (95-40);57.1% (44-33);54.8% (23-19);45.0% (9-11);50.0% (1-1);41.3% (145/351);21.1% (74/351);15.7% (55/351);21.9% (77/351);37.8% (34/90);14.4% (13/90);12.2% (11/90);6.7% (6/90);14.4% (13/90);14.4% (13/90);5.1% (9/178);56.3% (9-7);47.1% (16-18);58.6% (34-24);55.2% (58-47);63.2% (79-46);75.7% (56-18);81.8% (27-6);
4789;65.8% (302-157);61.2% (128-81);58.8% (40-28);60.0% (6-4);67.7% (107-51);0.0% (0-2);57.3% (106-79);75.0% (6-2);65.2% (73-39);64.6% (173-95);85.7% (12-2);57.2% (135-101);53.1% (17-15);87.1% (398-59);27.0% (78-211);57.0% (191-144);42.9% (15-20);63.2% (362-211);66.1% (115-59);62.5% (361-217);68.6% (116-53);5.6% (1-17);20.7% (12-46);30.0% (33-77);39.4% (76-117);53.1% (216-191);59.8% (366-246);27.6% (8-21);;46.7% (28-32);60.0% (63-42);68.8% (106-48);63.9% (129-73);67.5% (83-40);82.8% (48-10);0.0% (0-2);64.3% (119-66);63.0% (85-50);63.2% (86-50);65.6% (80-42);67.0% (61-30);55.3% (21-17);50.0% (13-13);42.4% (236/556);21.2% (118/556);15.5% (86/556);20.9% (116/556);40.7% (66/162);19.1% (31/162);10.5% (17/162);9.3% (15/162);10.5% (17/162);9.9% (16/162);2.9% (8/280);27.6% (8-21);46.7% (28-32);60.0% (63-42);68.8% (106-48);63.9% (129-73);67.5% (83-40);82.8% (48-10);0.0% (0-2)
