player_name,adv_name,round,date,diff_rank,tourney_name,class,prediction
Sam Querrey,Feliciano Lopez,R128,2018-01-15,-25.0,Australian Open,1,1
Laslo Djere,Ivo Karlovic,R128,2018-01-15,-4.0,Australian Open,0,1
Jan Lennard Struff,Roger Federer,R64,2018-01-15,53.0,Australian Open,0,0
Marin Cilic,Roger Federer,F,2018-01-15,4.0,Australian Open,0,0
Roger Federer,Richard Gasquet,R32,2018-01-15,-29.0,Australian Open,1,1
Andrey Rublev,Marcos Baghdatis,R64,2018-01-15,-91.0,Australian Open,1,1
Roberto Bautista Agut,Fernando Verdasco,R128,2018-01-15,-19.0,Australian Open,0,1
Roger Federer,Tomas Berdych,QF,2018-01-15,-18.0,Australian Open,1,1
Alex De Minaur,Tomas Berdych,R128,2018-01-15,107.0,Australian Open,0,0
Fabio Fognini,Tomas Berdych,R16,2018-01-15,5.0,Australian Open,0,1
Marin Cilic,Rafael Nadal,QF,2018-01-15,5.0,Australian Open,1,0
Diego Sebastian Schwartzman,Rafael Nadal,R16,2018-01-15,25.0,Australian Open,0,0
Benoit Paire,Guillermo Garcia Lopez,R128,2018-01-15,-29.0,Australian Open,0,1
Novak Djokovic,Gael Monfils,R64,2018-01-15,-25.0,Australian Open,1,1
Gael Monfils,Novak Djokovic,R64,2018-01-15,25.0,Australian Open,0,0
Albert Ramos,Novak Djokovic,R32,2018-01-15,8.0,Australian Open,0,1
Pablo Carreno Busta,Gilles Simon,R64,2018-01-15,-46.0,Australian Open,1,1
Nick Kyrgios,Viktor Troicki,R64,2018-01-15,-48.0,Australian Open,1,1
Karen Khachanov,Juan Martin Del Potro,R64,2018-01-15,37.0,Australian Open,0,0
Nick Kyrgios,Jo Wilfried Tsonga,R32,2018-01-15,2.0,Australian Open,1,1
Denis Shapovalov,Jo Wilfried Tsonga,R64,2018-01-15,35.0,Australian Open,0,0
Karen Khachanov,Peter Polansky,R128,2018-01-15,-92.0,Australian Open,1,1
Roger Federer,Marin Cilic,F,2018-01-15,-4.0,Australian Open,1,1
Pablo Carreno Busta,Marin Cilic,R16,2018-01-15,5.0,Australian Open,0,0
Rafael Nadal,Marin Cilic,QF,2018-01-15,-5.0,Australian Open,0,1
Dominic Thiem,Adrian Mannarino,R32,2018-01-15,-22.0,Australian Open,1,1
Matteo Berrettini,Adrian Mannarino,R128,2018-01-15,103.0,Australian Open,0,0
Andrey Rublev,Grigor Dimitrov,R32,2018-01-15,29.0,Australian Open,0,0
Nick Kyrgios,Grigor Dimitrov,R16,2018-01-15,14.0,Australian Open,0,0
Rafael Nadal,Leonardo Mayer,R64,2018-01-15,-51.0,Australian Open,1,1
Milos Raonic,Lukas Lacko,R128,2018-01-15,-63.0,Australian Open,0,1
Fabio Fognini,Evgeny Donskoy,R64,2018-01-15,-47.0,Australian Open,1,1
Novak Djokovic,Albert Ramos,R32,2018-01-15,-8.0,Australian Open,1,1
Marin Cilic,Pablo Carreno Busta,R16,2018-01-15,-5.0,Australian Open,1,1
Marin Cilic,Joao Sousa,R64,2018-01-15,-64.0,Australian Open,1,1
David Goffin,Matthias Bachinger,R128,2018-01-15,-175.0,Australian Open,1,1
Roger Federer,Aljaz Bedene,R128,2018-01-15,-49.0,Australian Open,1,1
Marin Cilic,Vasek Pospisil,R128,2018-01-15,-99.0,Australian Open,1,1
Dominic Thiem,Denis Kudla,R64,2018-01-15,-185.0,Australian Open,1,1
Fernando Verdasco,Roberto Bautista Agut,R128,2018-01-15,19.0,Australian Open,1,0
Diego Sebastian Schwartzman,Dusan Lajovic,R128,2018-01-15,-49.0,Australian Open,1,1
Rafael Nadal,Diego Sebastian Schwartzman,R16,2018-01-15,-25.0,Australian Open,1,1
Dusan Lajovic,Diego Sebastian Schwartzman,R128,2018-01-15,49.0,Australian Open,0,0
Rafael Nadal,Damir Dzumhur,R32,2018-01-15,-29.0,Australian Open,1,1
John Millman,Damir Dzumhur,R64,2018-01-15,92.0,Australian Open,0,0
