ranking;player_id;player_name
1;4742;Rafael Nadal
2;4920;Novak Djokovic
3;3819;Roger Federer
4;6407;Daniil Medvedev
5;6219;Dominic Thiem
6;26578;Stefanos Tsitsipas
7;644;Alexander Zverev
8;26414;Matteo Berrettini
9;5131;Roberto Bautista Agut
10;4789;Gael Monfils
11;5663;David Goffin
12;4921;Fabio Fognini
13;5442;Kei Nishikori
14;6029;Diego Sebastian Schwartzman
15;33215;Denis Shapovalov
16;4526;Stan Wawrinka
17;11547;Karen Khachanov
18;45107;Alex De Minaur
19;4544;John Isner
20;5763;Grigor Dimitrov
21;44826;Felix Auger Aliassime
22;6284;Lucas Pouille
23;25898;Andrey Rublev
24;5324;Benoit Paire
25;5539;Guido Pella
26;5918;Nikoloz Basilashvili
27;5793;Pablo Carreno Busta
28;6418;Borna Coric
29;4541;Jo Wilfried Tsonga
30;6387;Nick Kyrgios
31;24021;Reilly Opelka
32;5670;Milos Raonic
33;26007;Taylor Harry Fritz
34;6412;Christian Garin
35;5571;Dusan Lajovic
36;5515;Jan Lennard Struff
37;27835;Hubert Hurkacz
38;11485;Laslo Djere
39;5220;Marin Cilic
40;5922;Filip Krajinovic
41;5070;Albert Ramos
42;5543;Daniel Evans
43;5166;Adrian Mannarino
44;5016;Sam Querrey
45;4654;Pablo Cuevas
46;5420;Radu Albot
47;26011;Frances Tiafoe
48;22171;Alexander Bublik
49;5349;John Millman
50;4269;Fernando Verdasco
51;6214;Juan Ignacio Londero
52;4868;Jeremy Chardy
53;32068;Lorenzo Sonego
54;11787;Cameron Norrie
55;44831;Ugo Humbert
56;34555;Casper Ruud
57;4467;Gilles Simon
58;4664;Pablo Andujar
59;5370;Aljaz Bedene
60;45001;Miomir Kecmanovic
61;5303;Joao Sousa
62;4752;Richard Gasquet
63;3852;Feliciano Lopez
64;11415;Jordan Thompson
65;5718;Pierre Hugues Herbert
66;5564;Ricardas Berankis
67;5055;Mikhail Kukushkin
68;6364;Kyle Edmund
69;5801;Tennys Sandgren
70;6401;Yoshihito Nishioka
71;5902;Marton Fucsovics
72;6051;Marco Cecchinato
73;44483;Mikael Ymer
74;4311;Andreas Seppi
75;6184;Hugo Dellien
76;11769;Nicolas Jarry
77;5630;Federico Delbonis
78;6020;Yasutaka Uchiyama
79;4259;Philipp Kohlschreiber
80;6134;Roberto Carballes Baena
81;44670;Corentin Moutet
82;6282;Gregoire Barrere
83;36223;Dominik Koepfer
84;5438;Steve Johnson
85;26755;Soon Woo Kwon
86;5868;Stefano Travaglia
87;45047;Alejandro Davidovich Fokina
88;6315;Thiago Monteiro
89;11766;Kamil Majchrzak
90;26009;Tommy Paul
91;4728;Kevin Anderson
92;4914;Leonardo Mayer
93;11762;Brayden Schnur
